numero,numero_original,titulo,duracao,audio,macrotemas,descritores,ano,autor
24,24,O irreal como real,19:54,audio/24-o-irreal-como-real.opus,Tecnologias | Cultura,Sociedade,2026,Prof. Dr. Bruno Olivatto
25,25,O sistema de saúde no Brasil — algumas reflexões,20:00,audio/25-o-sistema-de-sade-no-brasil-algumas-reflexes.opus,Saúde,SUS | Políticas públicas,2026,Prof. Dr. Bruno Olivatto
26,26,O sempre novo igual,17:25,audio/26-o-sempre-novo-igual.opus,Cultura | Economia,Sociedade,2026,Prof. Dr. Bruno Olivatto
27,27,Vida intelectual e inconformismo,17:58,audio/27-vida-intelectual-e-inconformismo.opus,Educação | Cultura,Conhecimento,2026,Prof. Dr. Bruno Olivatto
28,28,A corrosão lenta da vida cotidiana!,24:38,audio/28-a-corroso-lenta-da-vida-cotidiana.opus,Cultura,Sociedade | Cotidiano,2026,Prof. Dr. Bruno Olivatto
29,29,Políticas anti-imigratórias e a especulação imobiliária global,14:28,audio/29-polticas-anti-imigratrias-e-a-especulao-imobiliria-global.ogg,Economia,Sociedade | Migração | Habitação,2026,Prof. Dr. Bruno Olivatto
30,30,Transvendo a pirataria e o mercado de luxo,18:54,audio/30-transvendo-a-pirataria-e-o-mercado-de-luxo.ogg,Economia | Cultura,Consumo,2026,Prof. Dr. Bruno Olivatto
31,31,Inflacionamento expressivo na zona do Euro: por quê?,16:54,audio/31-inflacionamento-expressivo-na-zona-do-euro-por-qu.ogg,Economia,Inflação | Europa,2026,Prof. Dr. Bruno Olivatto
32,34,Cinema sem sotaque,20:42,audio/32-cinema-sem-sotaque.ogg,Cultura,Cinema,2026,Prof. Dr. Bruno Olivatto
33,35,Lá se foi o jornal impresso e a leitura,20:55,audio/33-l-se-foi-o-jornal-impresso-e-a-leitura.ogg,Cultura | Tecnologias,Informação | Leitura,2026,Prof. Dr. Bruno Olivatto
34,36,A pedagogia do imperialismo e o colapso global,13:58,audio/34-a-pedagogia-do-imperialismo-e-o-colapso-global.ogg,Educação | Cultura | Economia,Sociedade,2026,Prof. Dr. Bruno Olivatto
35,37,Um tributo ao jornalismo lento,16:27,audio/35-um-tributo-ao-jornalismo-lento.ogg,Cultura | Tecnologias,Informação | Jornalismo,2026,Prof. Dr. Bruno Olivatto
36,38,Economia global x política local,18:16,audio/36-economia-global-x-poltica-local.ogg,Economia,Sociedade,2026,Prof. Dr. Bruno Olivatto
37,39,A privatização do alcance,10:03,audio/37-a-privatizao-do-alcance.ogg,Tecnologias | Cultura,Informação | Plataformas,2026,Prof. Dr. Bruno Olivatto
38,40,Coescrita e fim do autor solitário,14:41,audio/38-coescrita-e-fim-do-autor-solitrio.ogg,Educação | Cultura | Tecnologias,Autoria,2026,Prof. Dr. Bruno Olivatto
39,41,A cognição é híbrida,16:18,audio/39-a-cognio-hbrida.ogg,Educação | Tecnologias,Conhecimento | Cognição,2026,Prof. Dr. Bruno Olivatto
40,42,Já não bastam filtros nas fotos,15:54,audio/40-j-no-bastam-filtros-nas-fotos.ogg,Cultura | Tecnologias,Subjetividade,2026,Prof. Dr. Bruno Olivatto
41,43,A informação como campo minado,15:41,audio/41-a-informao-como-campo-minado.ogg,Cultura | Tecnologias,Informação,2026,Prof. Dr. Bruno Olivatto
42,44,IA e desemprego lhe preocupam?,15:18,audio/42-ia-e-desemprego-lhe-preocupam.ogg,Tecnologias | Economia,Trabalho | IA,2026,Prof. Dr. Bruno Olivatto
43,45,"IA, sofrimento psíquico e os operaístas italianos",19:03,audio/43-ia-sofrimento-psquico-e-os-operastas-italianos.ogg,Tecnologias | Saúde,Trabalho | IA | Subjetividade,2026,Prof. Dr. Bruno Olivatto
44,46,A engrenagem invisível do capital,21:03,audio/44-a-engrenagem-invisvel-do-capital.ogg,Economia,Trabalho | Sociedade,2026,Prof. Dr. Bruno Olivatto
45,47,A morte da dúvida e o mundo do conhecimento sintético,14:42,audio/45-a-morte-da-dvida-e-o-mundo-do-conhecimento-sinttico.ogg,Educação | Tecnologias,Conhecimento | IA,2026,Prof. Dr. Bruno Olivatto
46,48,A crise da evidência e a fadiga de viver!,18:39,audio/46-a-crise-da-evidncia-e-a-fadiga-de-viver.ogg,Saúde | Cultura,Conhecimento | Subjetividade,2026,Prof. Dr. Bruno Olivatto
47,49,A existência algorítmica!,19:07,audio/47-a-existncia-algortmica.ogg,Tecnologias | Cultura,IA | Subjetividade,2026,Prof. Dr. Bruno Olivatto
