id,orig_id,titulo,autor,duracao,macrotemas,descritores,descricao,arquivo
28,28,A corrosão lenta da vida cotidiana!,Prof. Dr. Bruno Olivatto,24:38,Cultura,Sociedade; Cotidiano,Reflexão sobre transformações sociais que afetam de forma gradual a experiência da vida cotidiana.,audio/28-a-corroso-lenta-da-vida-cotidiana.opus
29,29,Políticas anti-imigratórias e a especulação imobiliária global,Prof. Dr. Bruno Olivatto,14:28,Economia,Sociedade; Migração; Habitação,"Reflexão sobre migração, políticas anti-imigratórias e dinâmicas globais de especulação imobiliária.",audio/29-polticas-anti-imigratrias-e-a-especulao-imobiliria-global.ogg
30,30,Transvendo a pirataria e o mercado de luxo,Prof. Dr. Bruno Olivatto,18:54,Economia; Cultura,Consumo,"Reflexão sobre pirataria, mercado de luxo, consumo e valor social dos bens.",audio/30-transvendo-a-pirataria-e-o-mercado-de-luxo.ogg
31,31,Inflacionamento expressivo na zona do Euro: por quê?,Prof. Dr. Bruno Olivatto,16:54,Economia,Inflação; Europa,Reflexão sobre inflação na zona do Euro e fatores econômicos associados ao fenômeno.,audio/31-inflacionamento-expressivo-na-zona-do-euro-por-qu.ogg
32,34,Cinema sem sotaque,Prof. Dr. Bruno Olivatto,20:42,Cultura,Cinema,"Reflexão sobre cinema e cultura. Descrição editorial provisória, a ser refinada após curadoria do conteúdo.",audio/32-cinema-sem-sotaque.ogg
33,35,Lá se foi o jornal impresso e a leitura,Prof. Dr. Bruno Olivatto,20:55,Cultura; Tecnologias,Informação; Leitura,"Reflexão sobre transformações nos hábitos de leitura, informação e consumo de notícias diante da retração do jornal impresso.",audio/33-l-se-foi-o-jornal-impresso-e-a-leitura.ogg
34,36,A pedagogia do imperialismo e o colapso global,Prof. Dr. Bruno Olivatto,13:58,Educação; Cultura; Economia,Sociedade,"Reflexão sobre pedagogia, imperialismo e dinâmicas de crise e transformação global.",audio/34-a-pedagogia-do-imperialismo-e-o-colapso-global.ogg
35,37,Um tributo ao jornalismo lento,Prof. Dr. Bruno Olivatto,16:27,Cultura; Tecnologias,Informação; Jornalismo,Reflexão sobre o valor do jornalismo lento diante das transformações contemporâneas da informação.,audio/35-um-tributo-ao-jornalismo-lento.ogg
36,38,Economia global x política local,Prof. Dr. Bruno Olivatto,18:16,Economia,Sociedade,Reflexão sobre as tensões e interdependências entre processos econômicos globais e decisões políticas locais.,audio/36-economia-global-x-poltica-local.ogg
37,39,A privatização do alcance,Prof. Dr. Bruno Olivatto,10:03,Tecnologias; Cultura,Informação; Plataformas,"Reflexão sobre plataformas digitais, visibilidade, circulação de conteúdo e a privatização das condições de alcance.",audio/37-a-privatizao-do-alcance.ogg
38,40,Coescrita e fim do autor solitário,Prof. Dr. Bruno Olivatto,14:41,Educação; Cultura; Tecnologias,Autoria,"Reflexão sobre coescrita, autoria e transformações nas práticas de produção intelectual.",audio/38-coescrita-e-fim-do-autor-solitrio.ogg
39,41,A cognição é híbrida,Prof. Dr. Bruno Olivatto,16:18,Educação; Tecnologias,Conhecimento; Cognição,"Reflexão sobre cognição, conhecimento e formas híbridas de interação entre pessoas e tecnologias.",audio/39-a-cognio-hbrida.ogg
40,42,Já não bastam filtros nas fotos,Prof. Dr. Bruno Olivatto,15:54,Cultura; Tecnologias,Subjetividade,"Reflexão sobre imagem, mediação tecnológica e transformações contemporâneas da percepção de si e do mundo.",audio/40-j-no-bastam-filtros-nas-fotos.ogg
41,43,A informação como campo minado,Prof. Dr. Bruno Olivatto,15:41,Cultura; Tecnologias,Informação,"Reflexão sobre circulação da informação, confiabilidade e os desafios contemporâneos de produzir e interpretar conhecimento.",audio/41-a-informao-como-campo-minado.ogg
42,44,IA e desemprego lhe preocupam?,Prof. Dr. Bruno Olivatto,15:18,Tecnologias; Economia,Trabalho; IA,"Reflexão sobre inteligência artificial, trabalho e preocupações relacionadas às transformações do emprego.",audio/42-ia-e-desemprego-lhe-preocupam.ogg
43,45,"IA, sofrimento psíquico e os operaístas italianos",Prof. Dr. Bruno Olivatto,19:03,Tecnologias; Saúde,Trabalho; IA; Subjetividade,"Reflexão sobre inteligência artificial, trabalho, sofrimento psíquico e referências ao pensamento operaísta italiano.",audio/43-ia-sofrimento-psquico-e-os-operastas-italianos.ogg
44,46,A engrenagem invisível do capital,Prof. Dr. Bruno Olivatto,21:03,Economia,Trabalho; Sociedade,Reflexão sobre mecanismos econômicos e sociais que estruturam a reprodução contemporânea do capital.,audio/44-a-engrenagem-invisvel-do-capital.ogg
45,47,A morte da dúvida e o mundo do conhecimento sintético,Prof. Dr. Bruno Olivatto,14:42,Educação; Tecnologias,Conhecimento; IA,"Reflexão sobre dúvida, conhecimento e os desafios introduzidos pela produção sintética de informação e conteúdo.",audio/45-a-morte-da-dvida-e-o-mundo-do-conhecimento-sinttico.ogg
46,48,A crise da evidência e a fadiga de viver!,Prof. Dr. Bruno Olivatto,18:39,Saúde; Cultura,Conhecimento; Subjetividade,"Reflexão sobre evidência, confiança no conhecimento e experiências contemporâneas de fadiga e vida cotidiana.",audio/46-a-crise-da-evidncia-e-a-fadiga-de-viver.ogg
47,49,A existência algorítmica!,Prof. Dr. Bruno Olivatto,19:07,Tecnologias; Cultura,IA; Subjetividade,"Reflexão sobre algoritmos e seus efeitos na experiência, na subjetividade e nas formas contemporâneas de existência.",audio/47-a-existncia-algortmica.ogg
